"Timestamp","Select you gender?","Are you from a government or a private university?","Are you from Technology/Engineering stream?","What is your current residential province?","How satisfied are you with the devices you have for e-learning?","How satisfied are you with the signal strengths and network speed you have?","How easy for you to manage the cost/bills for internet service providers?","How satisfied are you with the interaction you have with the lecturers online?","How satisfied are you with the interaction you have with other students in the class?","How satisfied are you with the suitability of the syllabus contents you had online?","How satisfied are you with the resources/materials provided by your university?","How satisfied are you with the exams/assignments done through e-learning?","How well could you manage time while learning remotely?","How stressful is e-learning for you?"
"2021/10/17 10:31:38 pm GMT+5:30","Male","Private","Yes","Western Province","Neutral","Neutral","hard","Neutral","Satisfied","Satisfied","Satisfied","Satisfied","Neutral","Stressful"
"2021/10/17 10:50:08 pm GMT+5:30","Male","Private","Yes","Western Province","Very dissatisfied","Dissatisfied","hard","Very dissatisfied","Neutral","Very dissatisfied","Very dissatisfied","Very dissatisfied","Hard to manage","Very stressful"
"2021/10/17 10:51:03 pm GMT+5:30","Female","Both","Yes","Western Province","Neutral","Neutral","Neutral","Neutral","Dissatisfied","Neutral","Neutral","Neutral","Neutral","Stressful"
"2021/10/17 11:01:44 pm GMT+5:30","Female","Private","Yes","Southern Province","Neutral","Dissatisfied","Neutral","Neutral","Neutral","Neutral","Dissatisfied","Dissatisfied","Neutral","Stressful"
"2021/10/17 11:15:47 pm GMT+5:30","Male","Private","Yes","Western Province","Neutral","Neutral","hard","Dissatisfied","Dissatisfied","Neutral","Neutral","Dissatisfied","Neutral","Stressful"
"2021/10/17 11:39:27 pm GMT+5:30","Female","Private","Yes","Southern Province","Satisfied","Satisfied","Neutral","Neutral","Neutral","Neutral","Dissatisfied","Neutral","Neutral","Stressful"
"2021/10/17 11:50:42 pm GMT+5:30","Male","Private","Yes","Western Province","Satisfied","Very dissatisfied","hard","Neutral","Neutral","Neutral","Dissatisfied","Neutral","Hard to manage","Very stressful"
"2021/10/18 12:07:03 am GMT+5:30","Male","Private","Yes","Western Province","Dissatisfied","Very dissatisfied","hard","Dissatisfied","No online interaction","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very hard to manage","Very stressful"
"2021/10/18 11:57:32 pm GMT+5:30","Male","Government","Yes","Western Province","Neutral","Satisfied","hard","Neutral","No online interaction","Very satisfied","Satisfied","Satisfied","Neutral","Stressful"
"2021/10/20 11:45:24 am GMT+5:30","Male","Private","Yes","Uva Province","Neutral","Neutral","Neutral","Very satisfied","Neutral","Satisfied","Neutral","Satisfied","Hard to manage","Neutral"
"2021/10/20 11:48:11 am GMT+5:30","Male","Government","No","Uva Province","Satisfied","Neutral","Neutral","Neutral","Neutral","Satisfied","Satisfied","Dissatisfied","Easy to manage","Stressful"
"2021/10/20 11:55:23 am GMT+5:30","Female","Government","No","Uva Province","Neutral","Dissatisfied","hard","Neutral","Neutral","Dissatisfied","Dissatisfied","Satisfied","Neutral","Relaxing"
"2021/10/20 11:57:50 am GMT+5:30","Female","Private","Yes","Western Province","Satisfied","Dissatisfied","Neutral","Dissatisfied","Neutral","Satisfied","Neutral","Neutral","Easy to manage","Stressful"
"2021/10/20 12:00:50 pm GMT+5:30","Female","Private","Yes","Southern Province","Satisfied","Very dissatisfied","Neutral","Dissatisfied","Very dissatisfied","Neutral","Satisfied","Neutral","Hard to manage","Very stressful"
"2021/10/20 12:14:47 pm GMT+5:30","Female","Government","No","Southern Province","Neutral","Neutral","Neutral","Dissatisfied","Dissatisfied","Neutral","Dissatisfied","Neutral","Neutral","Neutral"
"2021/10/20 12:21:03 pm GMT+5:30","Male","Private","Yes","Eastern Province","Very satisfied","Very dissatisfied","Neutral","Neutral","Satisfied","Neutral","Very satisfied","Very dissatisfied","Hard to manage","Very stressful"
"2021/10/20 1:31:53 pm GMT+5:30","Female","Private","No","Uva Province","Satisfied","Neutral","easy","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neutral","Stressful"
"2021/10/20 2:38:27 pm GMT+5:30","Female","Government","No","Western Province","Very satisfied","Satisfied","hard","Satisfied","Neutral","Neutral","Neutral","Neutral","Hard to manage","Stressful"
"2021/10/20 2:45:40 pm GMT+5:30","Male","Government","Yes","Southern Province","Neutral","Dissatisfied","Neutral","Dissatisfied","Neutral","Satisfied","Satisfied","Neutral","Hard to manage","Stressful"
"2021/10/20 2:51:06 pm GMT+5:30","Female","Government","No","Southern Province","Satisfied","Neutral","Neutral","Neutral","Neutral","Neutral","Very satisfied","Neutral","Neutral","Stressful"
"2021/10/20 3:48:24 pm GMT+5:30","Male","Government","No","Western Province","Neutral","Dissatisfied","hard","Neutral","Neutral","Dissatisfied","Neutral","Satisfied","Neutral","Stressful"
"2021/10/20 4:00:34 pm GMT+5:30","Female","Government","No","Southern Province","Very satisfied","Dissatisfied","Neutral","Satisfied","Neutral","Satisfied","Satisfied","Satisfied","Easy to manage","Relaxing"
"2021/10/20 4:40:48 pm GMT+5:30","Male","Government","Yes","Western Province","Very satisfied","Satisfied","easy","Neutral","Dissatisfied","Satisfied","Satisfied","Satisfied","Easy to manage","Neutral"
"2021/10/20 5:29:40 pm GMT+5:30","Male","Private","Yes","Western Province","Satisfied","Dissatisfied","Neutral","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Neutral","Stressful"
"2021/10/22 12:14:52 am GMT+5:30","Male","Government","Yes","Southern Province","Satisfied","Dissatisfied","hard","Satisfied","Satisfied","Very satisfied","Very satisfied","Satisfied","Neutral","Stressful"
"2021/10/22 12:21:51 pm GMT+5:30","Male","Both","Yes","Western Province","Satisfied","Neutral","Neutral","No online interaction","No online interaction","Neutral","Neutral","Satisfied","Hard to manage","Neutral"
"2021/10/22 12:38:25 pm GMT+5:30","Female","Private","Yes","Western Province","Satisfied","Very dissatisfied","hard","Neutral","No online interaction","Satisfied","Satisfied","Satisfied","Very easy to manage","Relaxing"
"2021/10/22 12:59:58 pm GMT+5:30","Female","Private","Yes","Central Province","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2021/10/22 1:03:28 pm GMT+5:30","Female","Private","Yes","Western Province","Neutral","Neutral","Neutral","Dissatisfied","Neutral","Dissatisfied","Neutral","Dissatisfied","Hard to manage","Very stressful"
"2021/10/22 1:05:17 pm GMT+5:30","Male","Private","Yes","Western Province","Neutral","Neutral","Very hard","Satisfied","No online interaction","Neutral","Very dissatisfied","Dissatisfied","Hard to manage","Stressful"
"2021/10/22 1:06:59 pm GMT+5:30","Male","Private","Yes","Western Province","Satisfied","Satisfied","hard","Very dissatisfied","Very dissatisfied","Dissatisfied","Dissatisfied","Very dissatisfied","Neutral","Very stressful"
"2021/10/22 1:14:52 pm GMT+5:30","Male","Government","No","North Western Province","Neutral","Dissatisfied","Neutral","Neutral","Satisfied","Neutral","Neutral","Dissatisfied","Neutral","Stressful"
"2021/10/22 1:15:18 pm GMT+5:30","Female","Government","No","Uva Province","Satisfied","Very dissatisfied","hard","Neutral","Neutral","Dissatisfied","Neutral","Neutral","Neutral","Neutral"
"2021/10/22 1:15:26 pm GMT+5:30","Female","Government","Yes","Western Province","Satisfied","Dissatisfied","hard","Neutral","Neutral","Satisfied","Satisfied","Neutral","Neutral","Stressful"
"2021/10/22 1:15:41 pm GMT+5:30","Female","Government","Yes","Western Province","Satisfied","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Satisfied","Neutral","Stressful"
"2021/10/22 1:16:21 pm GMT+5:30","Male","Government","Yes","Western Province","Neutral","Neutral","hard","Neutral","Neutral","Dissatisfied","Neutral","Neutral","Neutral","Very stressful"
"2021/10/22 1:16:46 pm GMT+5:30","Female","Government","Yes","Uva Province","Satisfied","Very dissatisfied","Neutral","Neutral","Neutral","Neutral","Satisfied","Dissatisfied","Neutral","Stressful"
"2021/10/22 1:19:08 pm GMT+5:30","Male","Government","Yes","North Western Province","Satisfied","Neutral","Neutral","Neutral","Neutral","Dissatisfied","Dissatisfied","Neutral","Neutral","Neutral"
"2021/10/22 1:19:13 pm GMT+5:30","Male","Government","Yes","Uva Province","Satisfied","Neutral","hard","Neutral","Neutral","Neutral","Satisfied","Neutral","Hard to manage","Stressful"
"2021/10/22 1:19:30 pm GMT+5:30","Female","Government","No","Central Province","Satisfied","Neutral","hard","Satisfied","Satisfied","Neutral","Dissatisfied","Dissatisfied","Neutral","Stressful"
"2021/10/22 1:20:46 pm GMT+5:30","Male","Government","No","Western Province","Neutral","Dissatisfied","Very hard","Neutral","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Hard to manage","Stressful"
"2021/10/22 1:21:20 pm GMT+5:30","Male","Government","Yes","Eastern Province","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2021/10/22 1:21:49 pm GMT+5:30","Male","Government","Yes","North Central Province","Satisfied","Dissatisfied","Neutral","Satisfied","Neutral","Satisfied","Satisfied","Satisfied","Neutral","Neutral"
"2021/10/22 1:22:33 pm GMT+5:30","Male","Government","No","North Western Province","Satisfied","Satisfied","easy","Neutral","Neutral","Dissatisfied","Dissatisfied","Dissatisfied","Neutral","Stressful"
"2021/10/22 1:24:26 pm GMT+5:30","Female","Government","Yes","Central Province","Neutral","Dissatisfied","hard","Neutral","Neutral","Satisfied","Satisfied","Neutral","Easy to manage","Neutral"
"2021/10/22 1:27:35 pm GMT+5:30","Female","Government","Yes","Western Province","Neutral","Neutral","Neutral","Neutral","Dissatisfied","Neutral","Satisfied","Neutral","Neutral","Neutral"
"2021/10/22 1:27:45 pm GMT+5:30","Male","Government","No","North Western Province","Neutral","Neutral","hard","Dissatisfied","Neutral","Dissatisfied","Dissatisfied","Dissatisfied","Neutral","Neutral"
"2021/10/22 1:28:15 pm GMT+5:30","Male","Government","No","Western Province","Satisfied","Neutral","easy","Dissatisfied","Neutral","Neutral","Neutral","Neutral","Hard to manage","Stressful"
"2021/10/22 1:30:48 pm GMT+5:30","Male","Government","Yes","Uva Province","Neutral","Dissatisfied","hard","Neutral","Neutral","Neutral","Satisfied","Neutral","Neutral","Neutral"
"2021/10/22 1:32:18 pm GMT+5:30","Male","Government","No","Sabaragamuwa Province","Neutral","Neutral","Neutral","Dissatisfied","Neutral","Dissatisfied","Dissatisfied","Satisfied","Neutral","Stressful"
"2021/10/22 1:38:30 pm GMT+5:30","Male","Government","Yes","Western Province","Neutral","Dissatisfied","hard","Neutral","Neutral","Neutral","Neutral","Neutral","Hard to manage","Stressful"
"2021/10/22 1:51:12 pm GMT+5:30","Male","Government","Yes","Uva Province","Neutral","Satisfied","Neutral","Neutral","No online interaction","Dissatisfied","Dissatisfied","Dissatisfied","Neutral","Stressful"
"2021/10/22 2:15:29 pm GMT+5:30","Female","Government","No","North Western Province","Satisfied","Neutral","easy","Neutral","Satisfied","Neutral","Neutral","Neutral","Neutral","Stressful"
"2021/10/22 2:32:08 pm GMT+5:30","Male","Government","Yes","Western Province","Satisfied","Satisfied","Neutral","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Hard to manage","Stressful"
"2021/10/22 2:34:36 pm GMT+5:30","Male","Government","Yes","Sabaragamuwa Province","Very satisfied","Neutral","hard","Very satisfied","Very dissatisfied","Dissatisfied","Dissatisfied","Neutral","Hard to manage","Neutral"
"2021/10/22 2:46:07 pm GMT+5:30","Female","Government","No","Western Province","Satisfied","Satisfied","Neutral","Satisfied","Satisfied","Neutral","Satisfied","Satisfied","Easy to manage","Neutral"
"2021/10/22 3:10:36 pm GMT+5:30","Male","Government","Yes","Southern Province","Satisfied","Satisfied","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Easy to manage","Stressful"
"2021/10/22 3:12:38 pm GMT+5:30","Female","Government","No","North Western Province","Neutral","Satisfied","hard","Very satisfied","Satisfied","Dissatisfied","Dissatisfied","Dissatisfied","Neutral","Very stressful"
"2021/10/22 3:14:51 pm GMT+5:30","Female","Government","Yes","Eastern Province","Satisfied","Neutral","hard","Neutral","Satisfied","Neutral","Neutral","Neutral","Neutral","Very stressful"
"2021/10/22 3:16:07 pm GMT+5:30","Male","Government","Yes","North Western Province","Satisfied","Neutral","hard","Satisfied","Satisfied","Very satisfied","Dissatisfied","Satisfied","Neutral","Very stressful"
"2021/10/22 3:30:41 pm GMT+5:30","Female","Government","Yes","Nothern Province","Neutral","Dissatisfied","easy","Satisfied","Satisfied","Neutral","Satisfied","Dissatisfied","Neutral","Stressful"
"2021/10/22 3:43:36 pm GMT+5:30","Female","Government","No","Central Province","Satisfied","Neutral","hard","Neutral","Dissatisfied","Neutral","Dissatisfied","Dissatisfied","Easy to manage","Neutral"
"2021/10/22 4:10:27 pm GMT+5:30","Female","Government","No","Sabaragamuwa Province","Satisfied","Very dissatisfied","Neutral","Dissatisfied","Neutral","Satisfied","Dissatisfied","Dissatisfied","Hard to manage","Stressful"
"2021/10/22 4:14:56 pm GMT+5:30","Female","Government","Yes","North Western Province","Neutral","Very dissatisfied","Very hard","Neutral","Satisfied","Neutral","Neutral","Neutral","Neutral","Very stressful"
"2021/10/22 4:36:18 pm GMT+5:30","Female","Government","No","Central Province","Satisfied","Satisfied","Neutral","Neutral","Dissatisfied","Neutral","Neutral","Neutral","Hard to manage","Stressful"
"2021/10/22 5:06:25 pm GMT+5:30","Male","Government","No","Western Province","Satisfied","Neutral","Neutral","Satisfied","Dissatisfied","Dissatisfied","Dissatisfied","Neutral","Easy to manage","Neutral"
"2021/10/22 5:10:48 pm GMT+5:30","Female","Government","No","Western Province","Neutral","Neutral","hard","Neutral","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Hard to manage","Stressful"
"2021/10/22 5:13:59 pm GMT+5:30","Female","Government","No","Western Province","Neutral","Very dissatisfied","hard","Dissatisfied","No online interaction","Neutral","Very dissatisfied","Dissatisfied","Neutral","Stressful"
"2021/10/22 5:54:17 pm GMT+5:30","Male","Government","Yes","North Western Province","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2021/10/22 6:22:37 pm GMT+5:30","Female","Government","No","North Western Province","Satisfied","Dissatisfied","hard","No online interaction","No online interaction","Dissatisfied","Neutral","Dissatisfied","Easy to manage","Very stressful"
"2021/10/22 6:30:59 pm GMT+5:30","Male","Government","No","North Western Province","Neutral","Neutral","hard","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2021/10/22 6:34:59 pm GMT+5:30","Male","Government","Yes","Central Province","Satisfied","Satisfied","Neutral","Satisfied","Satisfied","Neutral","Neutral","Dissatisfied","Neutral","Stressful"
"2021/10/22 8:11:55 pm GMT+5:30","Male","Government","Yes","Western Province","Satisfied","Satisfied","Neutral","Neutral","Neutral","Satisfied","Satisfied","Neutral","Easy to manage","Neutral"
"2021/10/22 10:04:20 pm GMT+5:30","Female","Government","No","North Western Province","Very satisfied","Very satisfied","easy","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very easy to manage","Very relaxing"
"2021/10/23 12:08:27 am GMT+5:30","Female","Government","No","North Central Province","Dissatisfied","Very dissatisfied","Neutral","Neutral","Neutral","Neutral","Satisfied","Neutral","Neutral","Neutral"
"2021/10/23 8:18:47 pm GMT+5:30","Male","Government","Yes","Western Province","Very satisfied","Neutral","hard","Very dissatisfied","Dissatisfied","Neutral","Dissatisfied","Neutral","Neutral","Neutral"
"2021/10/26 6:29:50 pm GMT+5:30","Male","Government","No","Western Province","Satisfied","Satisfied","Neutral","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Easy to manage","Stressful"
"2021/10/26 6:30:54 pm GMT+5:30","Male","Government","Yes","Central Province","Dissatisfied","Neutral","Neutral","Very dissatisfied","Satisfied","Satisfied","Satisfied","Neutral","Very hard to manage","Stressful"
"2021/10/26 6:30:57 pm GMT+5:30","Male","Government","Yes","Western Province","Very satisfied","Satisfied","Neutral","Satisfied","Very dissatisfied","Dissatisfied","Very satisfied","Neutral","Hard to manage","Very stressful"
"2021/10/26 6:37:25 pm GMT+5:30","Male","Government","No","Western Province","Satisfied","Neutral","easy","Satisfied","Neutral","Satisfied","Very satisfied","Neutral","Easy to manage","Neutral"
"2021/10/26 6:38:18 pm GMT+5:30","Female","Government","No","Western Province","Satisfied","Satisfied","Neutral","Satisfied","Neutral","Satisfied","Satisfied","Dissatisfied","Neutral","Relaxing"
"2021/10/26 6:58:22 pm GMT+5:30","Female","Government","Yes","Western Province","Satisfied","Satisfied","Neutral","Neutral","Dissatisfied","Neutral","Satisfied","Satisfied","Neutral","Neutral"
"2021/10/26 7:01:50 pm GMT+5:30","Female","Government","Yes","Eastern Province","Neutral","Satisfied","easy","Neutral","Neutral","Very satisfied","Very satisfied","Satisfied","Neutral","Neutral"
"2021/10/26 7:55:00 pm GMT+5:30","Female","Government","Yes","Southern Province","Satisfied","Satisfied","Neutral","Neutral","Dissatisfied","Neutral","Neutral","Neutral","Easy to manage","Relaxing"
"2021/10/26 8:56:52 pm GMT+5:30","Female","Government","Yes","North Western Province","Satisfied","Neutral","easy","Neutral","Neutral","Neutral","Satisfied","Dissatisfied","Hard to manage","Stressful"
"2021/10/27 6:15:52 pm GMT+5:30","Male","Private","No","Western Province","Dissatisfied","Very dissatisfied","Neutral","No online interaction","Very dissatisfied","Neutral","Neutral","Dissatisfied","Hard to manage","Very stressful"
"2021/10/27 9:11:50 pm GMT+5:30","Female","Government","Yes","Western Province","Satisfied","Neutral","Neutral","Neutral","Neutral","Dissatisfied","Neutral","Dissatisfied","Neutral","Stressful"
"2021/10/27 9:15:11 pm GMT+5:30","Female","Government","Yes","Western Province","Very satisfied","Satisfied","Very easy","Very satisfied","Satisfied","Neutral","Satisfied","Satisfied","Very easy to manage","Neutral"
"2021/10/27 9:35:31 pm GMT+5:30","Male","Government","Yes","Uva Province","Very satisfied","Dissatisfied","easy","Satisfied","Satisfied","Very satisfied","Satisfied","Very satisfied","Easy to manage","Relaxing"
"2021/10/27 10:49:26 pm GMT+5:30","Female","Both","Yes","Western Province","Satisfied","Neutral","Neutral","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Hard to manage","Very stressful"
"2021/10/28 11:12:05 am GMT+5:30","Female","Government","Yes","Central Province","Neutral","Dissatisfied","Neutral","Dissatisfied","Neutral","Dissatisfied","Dissatisfied","Dissatisfied","Neutral","Stressful"
"2021/10/29 11:28:09 am GMT+5:30","Male","Government","Yes","Western Province","Satisfied","Satisfied","Neutral","Satisfied","Neutral","Satisfied","Neutral","Dissatisfied","Neutral","Stressful"
"2021/10/29 11:36:50 am GMT+5:30","Male","Government","Yes","Western Province","Dissatisfied","Neutral","Neutral","Very dissatisfied","Very dissatisfied","Neutral","Satisfied","Very dissatisfied","Very hard to manage","Very stressful"
"2021/10/29 11:38:50 am GMT+5:30","Male","Government","Yes","Western Province","Neutral","Very dissatisfied","hard","Very dissatisfied","No online interaction","Dissatisfied","Dissatisfied","Very dissatisfied","Hard to manage","Very stressful"
"2021/10/29 11:40:04 am GMT+5:30","Male","Government","No","Southern Province","Neutral","Neutral","hard","Neutral","Neutral","Neutral","Dissatisfied","Satisfied","Hard to manage","Stressful"
"2021/10/29 11:46:30 am GMT+5:30","Female","Government","Yes","North Western Province","Satisfied","Satisfied","hard","Very dissatisfied","No online interaction","Neutral","Neutral","Dissatisfied","Hard to manage","Very stressful"
"2021/10/29 12:01:23 pm GMT+5:30","Male","Government","Yes","Western Province","Satisfied","Neutral","Neutral","Dissatisfied","Dissatisfied","Neutral","Satisfied","Neutral","Neutral","Stressful"
"2021/11/05 7:21:38 pm GMT+5:30","Male","Government","No","Central Province","Neutral","Neutral","Neutral","Neutral","Dissatisfied","Neutral","Neutral","Satisfied","Neutral","Stressful"
"2021/11/05 7:27:57 pm GMT+5:30","Female","Government","No","Southern Province","Neutral","Neutral","Neutral","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Easy to manage","Neutral"
"2021/11/05 7:28:44 pm GMT+5:30","Female","Government","No","Southern Province","Neutral","Dissatisfied","hard","Neutral","Neutral","Neutral","Satisfied","Neutral","Neutral","Neutral"
"2021/11/05 7:28:57 pm GMT+5:30","Female","Government","No","Western Province","Dissatisfied","Dissatisfied","Neutral","Neutral","Dissatisfied","Dissatisfied","Neutral","Neutral","Hard to manage","Stressful"
"2021/11/05 7:29:22 pm GMT+5:30","Female","Government","No","Western Province","Dissatisfied","Neutral","Neutral","Dissatisfied","Neutral","Dissatisfied","Satisfied","Neutral","Easy to manage","Neutral"
"2021/11/05 8:16:25 pm GMT+5:30","Female","Government","No","Central Province","Satisfied","Neutral","Neutral","Satisfied","Neutral","Satisfied","Satisfied","Satisfied","Neutral","Neutral"
"2021/11/05 8:25:31 pm GMT+5:30","Female","Government","No","Southern Province","Neutral","Dissatisfied","hard","Neutral","Neutral","Neutral","Satisfied","Neutral","Neutral","Stressful"
"2021/11/05 8:30:07 pm GMT+5:30","Female","Government","No","Sabaragamuwa Province","Dissatisfied","Very dissatisfied","hard","Neutral","Satisfied","Satisfied","Satisfied","Neutral","Neutral","Very stressful"
"2021/11/06 7:28:06 am GMT+5:30","Female","Government","No","Uva Province","Satisfied","Neutral","Neutral","Neutral","Dissatisfied","Satisfied","Neutral","Satisfied","Neutral","Neutral"
"2021/11/06 7:30:51 am GMT+5:30","Female","Government","No","Western Province","Neutral","Dissatisfied","Neutral","Dissatisfied","Dissatisfied","Dissatisfied","Neutral","Neutral","Hard to manage","Stressful"